Time,Available,Type
2019-09-27 11:00:00+00:00,655,High
2019-05-17 11:00:00+00:00,7,Low
2019-05-18 11:00:00+00:00,7,Low
2019-05-19 11:00:00+00:00,8,Low
2019-05-21 11:00:00+00:00,8,Low
2019-05-22 11:00:00+00:00,8,Low
2019-05-23 11:00:00+00:00,6,Low
2019-05-24 11:00:00+00:00,7,Low
2019-05-25 11:00:00+00:00,8,Low
2019-05-26 11:00:00+00:00,8,Low
2019-05-27 11:00:00+00:00,8,Low
2019-05-28 11:00:00+00:00,16,Low
2019-05-29 11:00:00+00:00,17,Low
2019-05-30 11:00:00+00:00,15,Low
2019-05-31 11:00:00+00:00,16,Low
2019-06-01 11:00:00+00:00,20,Low
2019-06-02 11:00:00+00:00,11,Low
2019-06-03 11:00:00+00:00,13,Low
2019-06-04 11:00:00+00:00,9,Low
2019-06-05 11:00:00+00:00,14,Low
2019-06-06 11:00:00+00:00,24,Low
2019-06-07 11:00:00+00:00,12,Low
2019-06-08 11:00:00+00:00,17,Low
2019-06-09 11:00:00+00:00,7,Low
2019-06-10 11:00:00+00:00,22,Low
2019-06-11 11:00:00+00:00,11,Low
2019-06-12 11:00:00+00:00,14,Low
2019-06-13 11:00:00+00:00,13,Low
2019-06-14 11:00:00+00:00,30,Low
2019-06-15 11:00:00+00:00,8,Low
2019-06-16 11:00:00+00:00,13,Low
2019-06-17 11:00:00+00:00,26,Low
2019-06-18 11:00:00+00:00,25,Low
2019-06-19 11:00:00+00:00,30,Low
2019-06-20 11:00:00+00:00,27,Low
2019-06-21 11:00:00+00:00,34,Low
2019-06-22 11:00:00+00:00,21,Low
2019-06-23 11:00:00+00:00,20,Low
2019-06-24 11:00:00+00:00,36,Low
2019-06-25 11:00:00+00:00,21,Low
2019-06-26 11:00:00+00:00,26,Low
2019-06-27 11:00:00+00:00,35,Low
2019-06-28 11:00:00+00:00,26,Low
2019-06-29 11:00:00+00:00,26,Low
2019-06-30 11:00:00+00:00,12,Low
2019-07-01 11:00:00+00:00,24,Low
2019-07-02 11:00:00+00:00,55,Low
2019-07-03 11:00:00+00:00,36,Low
2019-07-04 11:00:00+00:00,35,Low
2019-07-05 11:00:00+00:00,30,Low
2019-07-06 11:00:00+00:00,28,Low
2019-07-07 11:00:00+00:00,28,Low
2019-07-08 11:00:00+00:00,47,Low
2019-07-09 11:00:00+00:00,26,Low
2019-07-10 11:00:00+00:00,25,Low
2019-07-11 11:00:00+00:00,51,Low
2019-07-12 11:00:00+00:00,41,Low
2019-07-13 11:00:00+00:00,25,Low
2019-07-14 11:00:00+00:00,20,Low
2019-07-15 11:00:00+00:00,42,Low
2019-07-16 11:00:00+00:00,54,Low
2019-07-17 11:00:00+00:00,26,Low
2019-07-18 11:00:00+00:00,61,Low
2019-07-19 11:00:00+00:00,38,Low
2019-07-20 11:00:00+00:00,16,Low
2019-07-21 11:00:00+00:00,22,Low
2019-07-22 11:00:00+00:00,39,Low
2019-07-23 11:00:00+00:00,74,Low
2019-07-24 11:00:00+00:00,70,Low
2019-07-25 11:00:00+00:00,55,Low
2019-07-26 11:00:00+00:00,56,Low
2019-07-27 11:00:00+00:00,53,Low
2019-07-28 11:00:00+00:00,83,Low
2019-07-29 11:00:00+00:00,102,Low
2019-07-30 11:00:00+00:00,96,Low
2019-07-31 11:00:00+00:00,208,Low
2019-08-01 11:00:00+00:00,192,Low
2019-08-02 11:00:00+00:00,197,Low
2019-08-03 11:00:00+00:00,155,Low
2019-08-04 11:00:00+00:00,170,Low
2019-08-05 11:00:00+00:00,160,Low
2019-08-06 11:00:00+00:00,197,Low
2019-08-07 11:00:00+00:00,207,Low
2019-08-08 11:00:00+00:00,166,Low
2019-08-09 11:00:00+00:00,223,Low
2019-08-10 11:00:00+00:00,193,Low
2019-08-11 11:00:00+00:00,203,Low
2019-08-12 11:00:00+00:00,261,Low
2019-08-13 11:00:00+00:00,152,Low
2019-08-14 11:00:00+00:00,227,Low
2019-08-15 11:00:00+00:00,217,Low
2019-08-16 11:00:00+00:00,208,Low
2019-08-17 11:00:00+00:00,280,Low
2019-08-18 11:00:00+00:00,217,Low
2019-08-19 11:00:00+00:00,238,Low
2019-08-20 11:00:00+00:00,221,Low
2019-08-21 11:00:00+00:00,282,Low
2019-08-22 11:00:00+00:00,286,Low
2019-08-23 11:00:00+00:00,250,Low
2019-08-24 11:00:00+00:00,188,Low
2019-08-25 11:00:00+00:00,202,Low
2019-08-26 11:00:00+00:00,242,Low
2019-08-27 11:00:00+00:00,267,Low
2019-08-28 11:00:00+00:00,293,Low
2019-08-29 11:00:00+00:00,299,Low
2019-08-30 11:00:00+00:00,280,Low
2019-08-31 11:00:00+00:00,230,Low
2019-09-01 11:00:00+00:00,260,Low
2019-09-02 11:00:00+00:00,184,Low
2019-09-03 11:00:00+00:00,231,Low
2019-09-04 11:00:00+00:00,272,Low
2019-09-05 11:00:00+00:00,267,Low
2019-09-06 11:00:00+00:00,227,Low
2019-09-07 11:00:00+00:00,133,Low
2019-09-08 11:00:00+00:00,97,Low
2019-09-09 11:00:00+00:00,167,Low
2019-09-10 11:00:00+00:00,182,Low
2019-09-11 11:00:00+00:00,112,Low
2019-09-12 11:00:00+00:00,54,Low
2019-09-13 11:00:00+00:00,153,Low
2019-09-14 11:00:00+00:00,146,Low
2019-09-15 11:00:00+00:00,160,Low
2019-09-16 11:00:00+00:00,140,Low
